Teacher ID,Teacher Email,Teacher Password,Lesson Link
1113,SharieMischkeOtBT0@hotmail.net,SharieMischke,https://upliftk12.com/student/lesson/start/DWctR1113Z7rmqc33/1
1114,BuffyWronadpoC1@outlook.biz,BuffyWrona,https://upliftk12.com/student/lesson/start/lE6gE1114ZJtX4633/1
1115,TyishaScheweYhxo2@yahoo.biz,TyishaSchewe,https://upliftk12.com/student/lesson/start/Wwlve1115ZnkGNY33/1
1116,LloydGuillemettelNbc3@gmail.com,LloydGuillemette,https://upliftk12.com/student/lesson/start/fJD341116Z4U0Qj33/1
1117,LloydLanzw8r04@gmail.net,LloydLanz,https://upliftk12.com/student/lesson/start/abPX51117ZxHjyB33/1
1118,LaineMischkeP6aO5@gmail.net,LaineMischke,https://upliftk12.com/student/lesson/start/eif0C1118ZKWXIa33/1
1119,MicheleByronzpuZ6@hotmail.net,MicheleByron,https://upliftk12.com/student/lesson/start/GTBOQ1119ZC7JnM33/1
1120,QianaCultonXBrj7@yahoo.com,QianaCulton,https://upliftk12.com/student/lesson/start/YrD1M1120ZqUVUy33/1
1121,RaleighCenterpscs8@gmail.biz,RaleighCenter,https://upliftk12.com/student/lesson/start/0Wen21121Z8cUxu33/1
1122,LarisaMoteNdHO9@hotmail.com,LarisaMote,https://upliftk12.com/student/lesson/start/eGXKl1122ZrSjVH33/1
1123,MicheleBlockyUpl10@hotmail.com,MicheleBlock,https://upliftk12.com/student/lesson/start/gnMTi1123ZiS21m33/1
1124,LuzGuillemette9wv011@hotmail.biz,LuzGuillemette,https://upliftk12.com/student/lesson/start/5pMh21124Z1wodm33/1
1125,TomiPingreeIiNA12@gmail.biz,TomiPingree,https://upliftk12.com/student/lesson/start/HK6NC1125ZKFEoV33/1
1126,SamathaCultonQtZ613@outlook.biz,SamathaCulton,https://upliftk12.com/student/lesson/start/mj0Bq1126Zbjyj633/1
1127,MargarettPingreeylQr14@gmail.biz,MargarettPingree,https://upliftk12.com/student/lesson/start/4Qm7g1127Z4Qx2033/1
1128,ZoniaPecorajlwl15@outlook.net,ZoniaPecora,https://upliftk12.com/student/lesson/start/WSNrY1128ZEJcQb33/1
1129,LuzFetzerWiEG16@yahoo.com,LuzFetzer,https://upliftk12.com/student/lesson/start/y1MuO1129ZoiDfl33/1
1130,ZoniaSchewelcOE17@yahoo.com,ZoniaSchewe,https://upliftk12.com/student/lesson/start/nbL9F1130ZY6v2v33/1
1131,MicheleGrisbyP7Gm18@hotmail.net,MicheleGrisby,https://upliftk12.com/student/lesson/start/cwC3F1131ZmVoHu33/1
1132,SharieMischkedkG219@hotmail.com,SharieMischke,https://upliftk12.com/student/lesson/start/TxlAa1132Zwi3Es33/1
1133,BeckiParisCGTf20@gmail.com,BeckiParis,https://upliftk12.com/student/lesson/start/cxHeY1133ZMl2bQ33/1
1134,LarisaWrona9KVD21@hotmail.biz,LarisaWrona,https://upliftk12.com/student/lesson/start/OrsyJ1134Z5AhaM33/1
1135,LuzNorenUWve22@yahoo.biz,LuzNoren,https://upliftk12.com/student/lesson/start/OVjrU1135ZpAbsQ33/1
1136,AlejandroMoteuLKk23@outlook.net,AlejandroMote,https://upliftk12.com/student/lesson/start/OSGur1136ZNLIS933/1
1137,LyndiaFleishmanR0CV24@hotmail.com,LyndiaFleishman,https://upliftk12.com/student/lesson/start/7NrGQ1137ZTRVyQ33/1
1138,LeighaBadonPnEv25@hotmail.biz,LeighaBadon,https://upliftk12.com/student/lesson/start/pEmqN1138Zi4Tow33/1
1139,SharieCobyaxHG26@yahoo.biz,SharieCoby,https://upliftk12.com/student/lesson/start/vt4n91139ZeQDpP33/1
1140,QianaMongoldOe1a27@hotmail.com,QianaMongold,https://upliftk12.com/student/lesson/start/uSHej1140Z5nNNR33/1
1141,TomiWronaTH6A28@yahoo.biz,TomiWrona,https://upliftk12.com/student/lesson/start/uWyKA1141ZMqmW833/1
1142,MicheleStovalV4ME29@gmail.net,MicheleStoval,https://upliftk12.com/student/lesson/start/qqbYi1142Z9BFJq33/1
1143,LeighaNorenC5ZT30@gmail.com,LeighaNoren,https://upliftk12.com/student/lesson/start/N7JLm1143ZI2lB033/1
1144,LyndiaRamagetZ6A31@outlook.net,LyndiaRamage,https://upliftk12.com/student/lesson/start/YF5IQ1144ZT6TJI33/1
1145,GayleneKlempY0RV32@yahoo.com,GayleneKlemp,https://upliftk12.com/student/lesson/start/56WC51145Zw48SE33/1
1146,RebeckaKucerazmN733@gmail.biz,RebeckaKucera,https://upliftk12.com/student/lesson/start/eaLJu1146Zwfmj733/1
1147,BeckiGrisbyYQL834@gmail.biz,BeckiGrisby,https://upliftk12.com/student/lesson/start/wXI7E1147Zo6a6x33/1
1148,GeorgiannaPepperlE2Z35@hotmail.biz,GeorgiannaPepper,https://upliftk12.com/student/lesson/start/x1QuB1148ZML1c233/1
1149,AugustineLupoFhwY36@hotmail.net,AugustineLupo,https://upliftk12.com/student/lesson/start/LLklL1149ZrPOy933/1
1150,ChristeenDrewsnMPW37@yahoo.com,ChristeenDrews,https://upliftk12.com/student/lesson/start/OUYa61150Z6Y61433/1
1151,ArdenMongoldOzqA38@gmail.biz,ArdenMongold,https://upliftk12.com/student/lesson/start/DXLbj1151Z6gfnk33/1
1152,RaleighWiersjo7e39@yahoo.biz,RaleighWiers,https://upliftk12.com/student/lesson/start/BERAS1152Zy74nW33/1
1153,MargheritaGuillemettelVhz40@yahoo.com,MargheritaGuillemette,https://upliftk12.com/student/lesson/start/xqVlB1153Z79cUm33/1
1154,MargareteFleishman6T7B41@outlook.com,MargareteFleishman,https://upliftk12.com/student/lesson/start/1666V1154ZdplJl33/1
1155,BongBadonhL1c42@hotmail.com,BongBadon,https://upliftk12.com/student/lesson/start/Fd8cN1155Zup8MT33/1
1156,SamathaDrewsDKRB43@outlook.biz,SamathaDrews,https://upliftk12.com/student/lesson/start/GBbmJ1156Z63YHR33/1
1157,GeorgiannaFleishmanXrZw44@yahoo.com,GeorgiannaFleishman,https://upliftk12.com/student/lesson/start/UCmmV1157Z4YyTq33/1
1158,BlytheMongoldZkQV45@hotmail.biz,BlytheMongold,https://upliftk12.com/student/lesson/start/PTouy1158ZsQwF233/1
1159,LarisaRamageQ2Ez46@yahoo.com,LarisaRamage,https://upliftk12.com/student/lesson/start/ywWUn1159ZvNolp33/1
1160,SamathaCattkoeG47@outlook.com,SamathaCatt,https://upliftk12.com/student/lesson/start/gHTOB1160Z8oBn533/1
1161,ThomasByronD2pC48@outlook.net,ThomasByron,https://upliftk12.com/student/lesson/start/oHcEM1161ZIdOwE33/1
1162,BongMayoralmX2l49@yahoo.com,BongMayoral,https://upliftk12.com/student/lesson/start/KpNvA1162ZvoOTC33/1
1163,BongGeddes4oqp50@hotmail.net,BongGeddes,https://upliftk12.com/student/lesson/start/PKHbu1163ZjAQFm33/1
1164,RebeckaVolkmanjE9351@gmail.com,RebeckaVolkman,https://upliftk12.com/student/lesson/start/KaPbP1164Zc61m333/1
1165,SharieHaslett1YiT52@hotmail.net,SharieHaslett,https://upliftk12.com/student/lesson/start/dyqBy1165ZLmJIH33/1
1166,BongMongoldQUPZ53@hotmail.com,BongMongold,https://upliftk12.com/student/lesson/start/NHaMo1166ZpmkUa33/1
1167,BuffyBuresh3GSM54@outlook.net,BuffyBuresh,https://upliftk12.com/student/lesson/start/q5Q8Q1167ZrfSIS33/1
1168,RaleighBureshQ7Hf55@gmail.biz,RaleighBuresh,https://upliftk12.com/student/lesson/start/7bdpc1168Zi5lBN33/1
1169,QianaPekarp0bH56@gmail.com,QianaPekar,https://upliftk12.com/student/lesson/start/5GgBY1169ZmW8V333/1
1170,LloydScheweHFuP57@hotmail.biz,LloydSchewe,https://upliftk12.com/student/lesson/start/FnRKo1170Z9tHLo33/1
1171,ElidaMayoralZH0Q58@gmail.biz,ElidaMayoral,https://upliftk12.com/student/lesson/start/Ngrv41171ZNivag33/1
1172,JoanFleishmanuYSG59@hotmail.net,JoanFleishman,https://upliftk12.com/student/lesson/start/pJAUB1172ZXXUTB33/1
1173,LloydVolkmanMgoE60@hotmail.biz,LloydVolkman,https://upliftk12.com/student/lesson/start/MAkgr1173ZnWRFO33/1
1174,BeckiParisqIM161@hotmail.com,BeckiParis,https://upliftk12.com/student/lesson/start/Y3cJd1174ZiA3nt33/1
